wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q107000988,Gürsediin Saikhanbayar,Gürsediin Saikhanbayar,https://en.wikipedia.org/w/index.php?title=G%C3%BCrsediin_Saikhanbayar&oldid=1041457560,2021-12-17,Q110167963,Minister of Defense of Mongolia,2020-07-08,Q107000988-BD642530-CC86-4072-A3B2-4790B2F06302
Q107670236,Batmunkh Battsetseg,Batmunkh Battsetseg,https://en.wikipedia.org/wiki/Battsetseg_Batmunkh,2021-12-18,Q23217246,Minister of Foreign Affairs of Mongolia,2021-01-29,Q107670236-FD5A07D3-E776-4FC4-89AF-21B1D79664FA
Q110167787,Nyamjav Urtnasan,Nyamjav Urtnasan,,,Q110167773,"Minister of Nature, Environment and Tourism",2021-01-29,Q110167787-CB35B582-19D6-4248-9392-8948AEE837CC
Q110168012,Khishigeegiin Nyambaatar,Khishigeegiin Nyambaatar,,,Q110167937,Minister of Justice and Internal Affairs,2020-07-08,Q110168012-64F0F157-BA09-4479-9DE4-ED78955AF913
Q110168485,Munkhbaatar Begzjav,Munkhbaatar Begzjav,,,Q110168486,Minister of Construction and Urban Development,2021-01-29,Q110168485-96AC69E0-A747-4F03-B5E6-237927E3246A
Q110168494,Lusvan Khaltar,Lusvan Khaltar,,,Q110168495,Minister of Road and Transport Development,2021-01-29,Q110168494-9D78B3E7-7BCF-4E14-AE37-27A5DCF98878
Q110168498,Ayush Ariunzaya,Ayush Ariunzaya,,,Q110168499,Minister of Labour and Social Welfare,2021-01-29,Q110168498-79E2C62C-41D6-478E-9912-FFEC55AE484C
Q110168503,Mendsaikhan Zagdjav,Mendsaikhan Zagdjav,,,Q110168504,"Minister of Food, Agriculture and Light Industry",2021-01-29,Q110168503-FDD86D8F-7440-4DCA-8E1C-D4EBF8E2D4FD
Q110168509,Enkhbold Sereejav,Enkhbold Sereejav,,,Q110167579,Minister of Health of Mongolia,2021-01-29,Q110168509-E2476DCD-FCBC-42E9-A2D6-68611C0BE462
Q110168512,Yondon Gelen,Yondon Gelen,,,Q110168513,Minister of Mining and Heavy Industry,2021-01-29,Q110168512-88E17A4E-A11B-4212-BC84-097F7D692BD3
Q110168519,Nansalyn Tavinbekh,Nansalyn Tavinbekh,,,Q110167867,Minister of Energy,2021-01-29,Q110168519-747C54E5-3B85-423A-A6A7-C432CD2A95F0
Q110168680,Sainbuyan Amarsaikhan,Sainbuyan Amarsaikhan,,,Q110167634,Deputy Prime Minister of Mongolia,2021-01-29,Q110168680-8B059C4C-677D-4193-9AA7-D561EED10CCB
Q24174849,Enkh-Amgalan Luvsantseren,Enkh-Amgalan Luvsantseren,,,Q110167576,"Minister of Education, Culture, and Science",2021-01-29,Q24174849-A26D9EA4-FDB0-4961-AB79-F7D8AD7F0092
Q24248226,Oyunerdene Luvsannamsrai,Oyunerdene Luvsannamsrai,,,Q903751,Prime Minister of Mongolia,2021-01-27,Q24248226-728cc129-40be-be38-21a5-dcc17307d90b
Q25632553,Nomin Chinbat,Nomin Chinbat,,,Q110168317,Minister of Culture,2021-01-29,Q25632553-5928EE40-821B-4A73-B78C-620A21ED01FE
Q25632960,Boldyn Javkhlan,Boldyn Javkhlan,,,Q110167841,Minister of Finance,2021-01-29,Q25632960-B8EA07DD-F95B-4EE4-BC76-2FAF3EE99DF5
Q7849526,Tsendiin Nyamdorj,Tsendiin Nyamdorj,,,Q110167704,Chief Cabinet Secretary,2021-01-29,Q7849526-41DBF8D7-1EF2-4E6D-8C85-FC12CF1D0579
Q81065,Zandaakhüügiin Enkhbold,Zandaakhüügiin Enkhbold,https://en.wikipedia.org/wiki/Zandaakhüügiin_Enkhbold,2021-12-18,Q110168196,Head of President's Office of Mongolia,2017-07-10,Q81065-D3CC762F-E94D-4D64-A672-97709FAEF6E2
