item,itemLabel,startDate,endDate
,Gadinbalyn Chagdarjav,1911,1915
,Luvsanbaldan,1915,1919
,Gombojavyn Luvsantseveen,1920,1921
Q2994413,Dambyn Chagdarjav,1921-03-13,1921-04-17
Q4155143,Darizavyn Losol,1921-04-17,1921-07-10
Q2654902,Soliin Danzan,1921-07-10,1923-04-06
,Bunibazaryn Dorj,1923,1924
Q3874296,Ölziin Badrakh,1924,1925
,Jigmediin Altangerel,1925,1926
,Sanjiin Dovchin,1926,1939
Q275025,Yumjaagiin Tsedenbal,1939,1940
Q4267187,Sonomyn Luvsan,1940,1941
,Tserenjavyn Byambaa,1941,1946
,Demchigiin Molomjamts,1948,1957
,Bamdariin Dügersüren,1957,1963
Q2982132,Dumaagiin Sodnom,1963,1969
Q105528187,Tsendiin Molom,1969,1979
,Erdeniin Byambajav,1979,1984
,Demchigjavyn Molomjamts,1984,1990
,Ayuurzanyn Bazarkhüü,1990,1992
,Dalrain Davaasambuu,1992,1995
Q9139974,Puntsagiin Tsagaan,1996,1998
Q3491505,Bat-Erdeniin Batbayar,1998,1999
,Yansanjavyn Ochirsükh,1999,2000
,Chültemiin Ulaan,2000,2004
Q57888,Norovyn Altankhuyag,2004,2006
Q9325409,Nadmidyn Bayartsaikhan,2006,2007
,Chültemiin Ulaan,2007,2008
,Sangajavyn Bayartsogt,2008,2012
,Chültemiin Ulaan,2012,2014
Q25848773,Jargaltulgyn Erdenebat,2014,2015
,Bayarbaataryn Bolor,2015,2016
,Battogtokhyn Choijilsüren,2016,2017
,Chimediin Khürelbaatar,2017,2021
,Boldin Javkhlan,2021,
