position,title
Q756265,President
Q903751,Prime Minister
Q110167634,Deputy Prime Minister
Q110168486,Minister of Construction and Urban Development
Q110167963,Minister of Defence
Q110167576,Minister of Education
Q110167867,Minister of Energy
Q110167841,Minister of Finance
Q110168504,"Minister of Food, Agriculture and Light Industry"
Q23217246,Minister of Foreign Affairs
Q110167579,Minister of Health
Q110167829,Minister of Industry and Trade
Q110167937,Minister of Justice and Internal Affairs
Q110168499,Minister of Labour and Social Welfare
Q110168513,Minister of Mining and Heavy Industry
Q110167773,"Minister of Nature, Environment and Tourism"
Q110168495,Minister of Road and Transport Development
Q110167704,Chief Cabinet Secretary
Q110168196,Head of the President's Office
Q110167911,Speaker of the State Great Khural
Q110168553,Governor of the Central Bank
Q65048983,Chief of General Staff
